0,50,200,50
1,0,150,100
2,50,100,150
3,100,50,200
4,150,0,250
5,200,50,200
6,250,100,150
7,200,150,100
8,150,200,50
9,100,250,0
10,50,200,50
11,0,150,100
12,50,100,150
13,100,50,200
14,150,0,250
15,200,50,200
16,250,100,150
17,200,150,100
18,150,200,50
19,100,250,0
20,50,200,50
21,0,150,100
22,50,100,150
23,100,50,200
24,150,0,250
25,200,50,200
26,250,100,150
27,200,150,100
28,150,200,50
29,100,250,0
30,50,200,50
31,0,150,100
32,50,100,150
33,100,50,200
34,150,0,250
35,200,50,200
36,250,100,150
37,200,150,100
38,150,200,50
39,100,250,0
40,50,200,50
41,0,150,100
42,50,100,150
43,100,50,200
44,150,0,250
45,200,50,200
46,250,100,150
47,200,150,100
48,150,200,50
49,100,250,0
50,50,200,50
